test_mstar,z5_fit,z5_q16,z5_q84,z7_fit,z7_q16,z7_q84,z10_fit,z10_q16,z10_q84
5.3,6.60307554814911,6.34130164091912,6.89908957403979,8.05304166699305,7.10000029363943,8.82536314934403,9.54413323804274,7.62869944363662,12.3667854857104
5.31,6.60954088215917,6.34817514456099,6.90440152975425,8.05480364953887,7.10509547848394,8.82470126793963,9.5429890783124,7.6333828050603,12.356343294788
5.32,6.61604372097664,6.35504980525949,6.9098921518548,8.05656563208468,7.11019066332844,8.82403938653523,9.54127603922969,7.63806616648398,12.3459011038657
5.33,6.62254671196802,6.36181215579545,6.91540360408001,8.0583276146305,7.11528584817295,8.82337750513082,9.53954180153583,7.64274952790766,12.3354589129433
5.34,6.62904985537294,6.36851844576694,6.92091521817999,8.06008959717632,7.12038103301746,8.82271562372642,9.53780756384198,7.64743288933134,12.3250167220209
5.35,6.63555315143098,6.37559789880492,6.92642699429783,8.06185157972213,7.12547621786196,8.82205374232202,9.53607332614813,7.65211625075502,12.3145745310985
5.36,6.64205660038176,6.3825600825807,6.93193893257665,8.06361356226795,7.13057140270647,8.82139186091761,9.53433908845428,7.6567996121787,12.3041323401761
5.37,6.64856020246488,6.38944057653303,6.93745103315955,8.06537554481377,7.13566658755097,8.82072997951321,9.53260485076042,7.66148297360238,12.2936901492537
5.38,6.65506395791994,6.39632224673026,6.94296329618963,8.06713752735958,7.14076177239548,8.82006809810881,9.53087061306657,7.66616633502607,12.2832479583314
5.39,6.66156786698655,6.40320509637043,6.94847572181,8.0688995099054,7.14585695723998,8.8194062167044,9.52835819071615,7.67084969644975,12.272805767409
5.4,6.66807192990431,6.4100891286516,6.95369270180306,8.07066149245121,7.15095214208449,8.8187443353,9.52583782002804,7.67553305787343,12.2623635764866
5.41,6.67457090872844,6.41697434677179,6.95880920263087,8.07242347499703,7.156047326929,8.8180824538956,9.52331744933994,7.68021641929711,12.2519213855642
5.42,6.6807696865398,6.42386075392906,6.96387225453435,8.07435233179578,7.1611425117735,8.81742057249119,9.52079707865184,7.68429356038833,12.2414791946418
5.43,6.68696914983598,6.43074835332145,6.96877004305814,8.07660893467247,7.16623769661801,8.81675869108679,9.51827670796374,7.6878398275715,12.2310370037194
5.44,6.69316930121417,6.43763714814701,6.97416499048784,8.07886553754916,7.17133288146251,8.81609680968239,9.51664220338479,7.69138609475467,12.2205948127971
5.45,6.69937014327154,6.44452714160379,6.97938323659036,8.08112214042585,7.17642806630702,8.81543492827798,9.51504861788902,7.69493236193784,12.2101526218747
