mstar,z5_smf,z6_smf,z7_smf,z7_smf.1,z9_smf,z10_smf
7.72,0.022367691724966,0.0307966970128884,0.00333448726422096,0.00333448726422096,0.00103516169809234,0.000101159854108366
7.73,0.0220097687682952,0.0301768282039406,0.00327169998009075,0.00327169998009075,0.00101120756558903,9.88189671205719e-05
7.74,0.0216575666093758,0.0295693875213598,0.00321008538836891,0.00321008538836891,0.000987798848579718,9.65313801649394e-05
7.75,0.0213109937652687,0.0289741256594745,0.0031496215494353,0.0031496215494353,0.000964923135390908,9.42958803265379e-05
7.76,0.0209699602156545,0.028390798313465,0.00309028693404767,0.00309028693404767,0.000942568296951907,9.21112823074334e-05
7.77,0.0206343773794473,0.0278191660790554,0.0030320604156672,0.0030320604156672,0.000920722480363682,8.99764277982146e-05
7.78,0.0203041580917822,0.0272589943542167,0.00297492126292743,0.00297492126292743,0.000899374102614154,8.78901848638282e-05
7.79,0.0199792165813709,0.026710053242843,0.00291884913224424,0.00291884913224424,0.000878511844436595,8.58514473433982e-05
7.8,0.0196594684482199,0.0261721174603584,0.002863824060564,0.002863824060564,0.000858124644307834,8.38591342637082e-05
7.81,0.0193448306417038,0.0256449662412189,0.00280982645824743,0.00280982645824743,0.000838201692583148,8.19121892660412e-05
7.82,0.0190352214389904,0.0251283832482687,0.00275683710208657,0.00275683710208657,0.000818732425764659,8.00095800460666e-05
7.83,0.0187305604238102,0.0246221564839157,0.00270483712845246,0.00270483712845246,0.000799706520900265,7.81502978064816e-05
7.84,0.0184307684655649,0.0241260782030875,0.00265380802657095,0.00265380802657095,0.000781113890110084,7.63333567221161e-05
7.85,0.0181357676987709,0.0236399448279351,0.00260373163192439,0.00260373163192439,0.000762944675237532,7.4557793417216e-05
7.86,0.0178454815028311,0.0231635568642464,0.00255459011977671,0.00255459011977671,0.000745189242622204,7.28226664546289e-05
7.87,0.0175598344821292,0.0226967188195368,0.00250636599881974,0.00250636599881974,0.000727838177991759,7.11270558366208e-05
7.88,0.0172787524464442,0.0222392391227836,0.0024590421049383,0.0024590421049383,0.00071088228147014,6.94700625170607e-05
7.89,0.017002162391676,0.0217909300457689,0.00241260159509205,0.00241260159509205,0.000694312562699433,6.78508079247101e-05
7.9,0.0167299924808806,0.0213516076260025,0.00236702794131177,0.00236702794131177,0.000678120236072831,6.62684334973712e-05
7.91,0.0164621720256081,0.020921091591189,0.00232230492480801,0.00232230492480801,0.000662296716076131,6.47221002266398e-05
7.92,0.0161986314675385,0.0204992052852114,0.00227841663018997,0.00227841663018997,0.000646833612735318,6.32109882130269e-05
7.93,0.0159393023604124,0.020085775595599,0.00223534743979252,0.00223534743979252,0.000631722727167814,6.173429623121e-05
7.94,0.0156841173522492,0.0196806328824503,0.00219308202810947,0.00219308202810947,0.000616956047235034,6.02912413051847e-05
7.95,0.0154330101678507,0.0192836109087821,0.00215160535633093,0.00215160535633093,0.000602525743293941,5.88810582930906e-05
7.96,0.0151859155915839,0.0188945467722753,0.00211090266698294,0.00211090266698294,0.000588424164045356,5.7502999481493e-05
7.97,0.0149427694504391,0.0185132808383902,0.00207095947866741,0.00207095947866741,0.000574643832476798,5.61563341889023e-05
7.98,0.0147035085973592,0.0181396566748236,0.00203176158090048,0.00203176158090048,0.000561177441897738,5.48403483783237e-05
7.99,0.0144680708948352,0.0177735209872809,0.00199329502904751,0.00199329502904751,0.000548017852065129,5.35543442786299e-05
8,0.014236395198764,0.0174147235565359,0.00195554613935286,0.00195554613935286,0.000535158085397179,5.22976400145571e-05
8.01,0.0140084213425649,0.0170631171767545,0.00191850148406269,0.00191850148406269,0.00052259132327335,5.10695692451269e-05
8.02,0.0137840901215492,0.0167185575950545,0.00188214788663902,0.00188214788663902,0.000510310902418628,4.98694808103032e-05
8.03,0.0135633432775402,0.0163809034522784,0.00184647241706345,0.00184647241706345,0.000498310311370126,4.86967383856967e-05
8.04,0.0133461234837392,0.0160500162249547,0.00181146238722869,0.00181146238722869,0.000486583187024186,4.75507201451338e-05
8.05,0.0131323743298329,0.0157257601684226,0.00177710534641641,0.00177710534641641,0.000475123311262085,4.64308184309083e-05
8.06,0.0129220403073399,0.0154080022610992,0.00174338907685973,0.00174338907685973,0.000463924607652636,4.53364394315477e-05
8.07,0.0127150667951903,0.0150966121498627,0.00171030158938879,0.00171030158938879,0.000452981138229856,4.42670028669144e-05
8.08,0.0125114000455373,0.0147914620965337,0.00167783111915782,0.00167783111915782,0.000442287100344043,4.32219416804817e-05
8.09,0.0123109871697939,0.0144924269254281,0.00164596612145223,0.00164596612145223,0.000431836823584578,4.22007017386178e-05
8.1,0.0121137761248947,0.0141993839719635,0.00161469526757416,0.00161469526757416,0.000421624766772806,4.12027415367199e-05
8.11,0.0119197156997757,0.013912213032296,0.00158400744080511,0.00158400744080511,0.000411645515023418,4.02275319120409e-05
8.12,0.0117287555020718,0.0136307963139678,0.00155389173244414,0.00155389173244414,0.000401893776872767,3.92745557630578e-05
8.13,0.0115408459450259,0.013355018387545,0.0015243374379203,0.0015243374379203,0.000392364381472599,3.83433077752329e-05
8.14,0.0113559382346074,0.0130847661392247,0.00149533405297773,0.00149533405297773,0.000383052275847685,3.74332941530191e-05
8.15,0.0111739843568377,0.0128199287243945,0.00146687126993239,0.00146687126993239,0.000373952522215959,3.6544032357974e-05
8.16,0.0109949370653167,0.0125603975221225,0.00143893897399871,0.00143893897399871,0.000365060295369658,3.56750508528353e-05
8.17,0.0108187498689506,0.0123060660905605,0.00141152723968519,0.00141152723968519,0.000356370880116144,3.48258888514277e-05
8.18,0.010645377019874,0.012056830123243,0.00138462632725738,0.00138462632725738,0.00034787966877701,3.39960960742673e-05
8.19,0.0104747735015669,0.0118125874062616,0.00135822667926719,0.00135822667926719,0.000339582158744158,3.31852325097316e-05
8.2,0.0103068950171604,0.0115732377762994,0.00133231891714721,0.00133231891714721,0.000331473950091549,3.2392868180671e-05
8.21,0.0101416979779304,0.0113386830795075,0.00130689383786877,0.00130689383786877,0.000323550743241349,3.16185829163363e-05
8.22,0.00997913949197398,0.0111088271312062,0.00128194241066271,0.00128194241066271,0.000315808336683252,3.08619661295019e-05
8.23,0.0098191773530685,0.0108835756763948,0.00125745577380146,0.00125745577380146,0.00030824262474574,3.01226165986652e-05
8.24,0.00966177002970739,0.0106628363510544,0.00123342523144155,0.00123342523144155,0.000300849595418122,2.94001422552085e-05
8.25,0.00950687665431206,0.0104465186442262,0.00120984225052516,0.00120984225052516,0.000293625328222184,2.86941599754085e-05
8.26,0.00935445701261607,0.0102345338608513,0.00118669845773985,0.00118669845773985,0.00028656599213232,2.80042953771833e-05
8.27,0.00920447153321908,0.0100267950853561,0.00116398563653517,0.00116398563653517,0.000279667843543039,2.73301826214704e-05
8.28,0.00905688127730776,0.00982321714596829,0.00114169572419524,0.00114169572419524,0.00027292722428277,2.66714642181278e-05
8.29,0.00891164792854129,0.00962371657974887,0.00111982080896622,0.00111982080896622,0.000266340559672913,2.60277908362573e-05
8.3,0.00876873378309813,0.00942821159832567,0.00109835312723757,0.00109835312723757,0.000259904356631083,2.53988211188468e-05
8.31,0.0086281017398826,0.00923662205431506,0.00107728506077622,0.00107728506077622,0.000253615201817589,2.47842215016368e-05
8.32,0.00848971529088743,0.00904886940841677,0.00105660913401253,0.00105660913401253,0.000247469759824092,2.41836660361098e-05
8.33,0.00835353851171081,0.00886487669716954,0.00103631801137721,0.00103631801137721,0.000241464771403542,2.35968362165128e-05
8.34,0.00821953605222497,0.00868456850135357,0.00101640449468814,0.00101640449468814,0.000235597051740423,2.30234208108193e-05
8.35,0.00808767312739391,0.00850787091502722,0.000996861520586224,0.000996861520586224,0.000229863488760379,2.246311569554e-05
8.36,0.00795791550823805,0.00833471151518506,0.000977682158019321,0.000977682158019321,0.000224261041478349,2.19156236942957e-05
8.37,0.00783022951294328,0.00816501933202476,0.000958859605773393,0.000958859605773393,0.000218786738384303,2.13806544200662e-05
8.38,0.0077045819981124,0.00799872481981098,0.000940387190049982,0.000940387190049982,0.000213437675865747,2.0857924121031e-05
8.39,0.00758094035015597,0.00783575982832348,0.000922258362089097,0.000922258362089097,0.000208211016666122,2.03471555299185e-05
8.4,0.00745927247682151,0.00767605757487903,0.000904466695836792,0.000904466695836792,0.000203103988378324,1.98480777167875e-05
8.41,0.00733954679885756,0.00751955261691415,0.00088700588565644,0.00088700588565644,0.000198113881972495,1.93604259451568e-05
8.42,0.00722173224181136,0.00736618082511862,0.000869869744083027,0.000869869744083027,0.000193238050357332,1.88839415314118e-05
8.43,0.00710579822795764,0.007215879357108,0.00085305219961958,0.00085305219961958,0.000188473906974135,1.84183717074088e-05
8.44,0.00699171466835642,0.00706858663162477,0.000836547294574988,0.000836547294574988,0.000183818924422849,1.79634694862071e-05
