mstar,z5_withAGN,z5_withAGN_q16,z5_withAGN_q84,z7_withAGN,z7_withAGN_q16,z7_withAGN_q84,z10_withAGN,z10_withAGN_q16,z10_withAGN_q84,z5_withoutAGN,z5_withoutAGN_q16,z5_withoutAGN_q84,z7_withoutAGN,z7_withoutAGN_q16,z7_withoutAGN_q84,z10_withoutAGN,z10_withoutAGN_q16,z10_withoutAGN_q84
5.41,-3.01821234250387,-3.79163354612002,-2.26207131951357,-3.64514595928621,-4.69886054083617,-2.61147802398921,-3.08376772243253,-5.14599014295677,-1.12527290706616,-3.21628918795858,-3.95969491819733,-2.47136723626288,-2.79888379633687,-3.55714887310137,-2.0401582579106,-2.41421085489994,-5.00718452951463,0.197698132350573
5.42,-3.00845929658225,-3.77979464594131,-2.25365806768392,-3.63330448651933,-4.68375994690998,-2.60222865769986,-3.07311364136446,-5.12860126519736,-1.12002582981854,-3.20567945877344,-3.94690235105338,-2.46299995659428,-2.78951122261083,-3.5451600179262,-2.03267229901487,-2.40466467762012,-4.99072225489526,0.199352517034906
5.43,-2.99857991509762,-3.76764980162944,-2.24524481585426,-3.62137115610922,-4.6686593529838,-2.59329889086409,-3.06245956029638,-5.11121238743796,-1.11477875257092,-3.19506972958829,-3.93420196355781,-2.45463267692567,-2.78006740020427,-3.53336551104856,-2.02518634011915,-2.39511850034031,-4.97425998027588,0.201838087707059
5.44,-2.98876370139449,-3.75592817198761,-2.23683156402461,-3.60962154098558,-4.65355875905761,-2.58456203714625,-3.05171586667761,-5.09382350967856,-1.1095316753233,-3.18446000040314,-3.92180765572934,-2.44626539725706,-2.77062357779771,-3.52171786072706,-2.01770038122342,-2.38560254982609,-4.9577977056565,0.204372820680813
5.45,-2.97894748769136,-3.74420654234578,-2.22906852138207,-3.59778702748014,-4.63845816513143,-2.57582518342842,-3.04074741786396,-5.07643463191915,-1.10428459807568,-3.173850271218,-3.90915767490912,-2.43778356028411,-2.761163781303,-3.51007021040555,-2.0102144223277,-2.37725426920628,-4.94133543103712,0.206396530248176
5.46,-2.96910652779966,-3.73222041402523,-2.22130928918615,-3.58615209443658,-4.62335757120524,-2.56708832971058,-3.02926835194657,-5.05904575415975,-1.09903752082806,-3.16324054203285,-3.89613208299584,-2.42921389752414,-2.75165619637382,-3.49842429784343,-2.00287208470259,-2.36807608205326,-4.92487315641775,0.207379542572791
5.47,-2.95929999844637,-3.72010641475822,-2.21300323671561,-3.5743549095014,-4.6082111550727,-2.55806110254974,-3.01923075193726,-5.04165687640035,-1.09379044358044,-3.1526308128477,-3.88311603948217,-2.42052976984146,-2.74221899523655,-3.48703145992672,-1.99554160129043,-2.35924965697068,-4.90841088179837,0.209213386625546
5.48,-2.94946813881919,-3.70787639776862,-2.20469718424508,-3.56244659323207,-4.59315638335287,-2.54870178589805,-3.00918915495601,-5.02449027631488,-1.08854336633282,-3.14202108366256,-3.87045318648598,-2.41175518521093,-2.73278179409927,-3.47538439464102,-1.98823752619172,-2.3495089331195,-4.8920769698253,0.210342042060819
5.49,-2.93963627919201,-3.69587841622421,-2.19680718946398,-3.55041417715118,-4.57805578942669,-2.53934246924636,-2.99838904310226,-5.00835580767963,-1.0832962890852,-3.13141135447741,-3.8577903334898,-2.40324278044235,-2.723344592962,-3.46369919290712,-1.98096586012061,-2.34071206199129,-4.87575436874985,0.211053924648386
5.5,-2.92980441956483,-3.6837644169572,-2.18894749367355,-3.5385727043843,-4.5629551955005,-2.53019189269239,-2.98737011793292,-4.99222133904437,-1.07804921183758,-3.12092395443405,-3.84512748049363,-2.39473037567377,-2.71390739182472,-3.45201399117322,-1.97355015105395,-2.3323067568098,-4.85902405794023,0.212587594509565
5.51,-2.91997255993766,-3.67165041769019,-2.18108779788313,-3.52661418474638,-4.54785460157432,-2.52132848073481,-2.97634025318582,-4.97608687040912,-1.07280213458996,-3.11093207415791,-3.83233262743259,-2.38611836778773,-2.70447019068745,-3.44032878943932,-1.96595049562086,-2.32284431774119,-4.84308136452057,0.21463635301824
5.52,-2.91023399176947,-3.65951327888813,-2.17322810209271,-3.51467085119997,-4.53275400764813,-2.51235773022429,-2.96557230840128,-4.95995240177387,-1.06785711417003,-3.10090848874002,-3.81960088179197,-2.37766316392793,-2.69503298955018,-3.42864358770542,-1.95820880375841,-2.31293869973945,-4.82656651882391,0.216852856640978
