SFRBurst50,SFRBurst16,SFRBurst84,AGNlum50,AGNlum16,AGNlum84,Mstar50,Mstar16,Mstar84,RA,DEC,VISITID,MODULE,COLID,z,LP
0.000306924690992342,7.5302798829309e-05,0.000185367789864353,6.0160899518967e+44,2.84790612244477e+43,2.4034261260346e+43,92194.6728473433,21457.446704249,55496.1772568874,214.829039763888,52.8756021653169,1345003001,NRCB,31,5.766,-1.9684031629148
1.3866059015759,0.2768666386768,0.306352801175052,8.69160308993141e+44,6.01061208991808e+44,2.25749863124245e+45,314388440.245407,62404718.2243693,69448108.1837298,214.839366178947,52.8824651745919,1345003001,NRCB,32,7.029,0.794278056996053
1.54318764089797,0.187239327850754,0.281303462099731,4.59255011644881e+44,2.97706751504643e+44,7.75646851772686e+44,343307505.788326,40739700.7000441,61388067.7952719,214.825397447942,52.862973227662,1345003001,NRCB,33,7.179,-4.27602697857674
4.01856335999039,1.94930310165415,4.38230908185067,8.404409323061e+45,6.18336298257778e+45,1.81623567027617e+46,901206496.573011,440663869.9933,971587969.310866,214.813041537277,52.8341562653638,1345003001,NRCA,34,7.179,-1.31563433156152
0.58151402242127,0.0798983247707513,0.105634223582858,8.97783878893662e+42,6.90114089999729e+42,2.18071096914719e+43,163461221.783232,21273059.8885734,29730702.3586148,214.878514631438,52.8741438418871,1345004001,NRCB,35,5.664,0.133322361513574
1.73386537351483,0.911147225555018,2.22229861759838,7.3711819533113e+44,3.71440694905307e+44,5.98719529883959e+44,389189685.00548,204530404.634085,495574767.182426,214.859181370197,52.8535827597864,1345004001,NRCB,36,7.115,-5.82842413882962
2.40009615417066,0.323765538895727,0.327831814326339,3.95946161618123e+43,2.31930235819138e+43,5.61459525610782e+43,541587533.254829,70951645.5681083,72788757.0912479,214.831611122629,52.831503834285,1345004001,NRCA,37,7.064,-0.286622767030046
0.000755652069692783,0.000127532275566122,0.000354239881268227,6.42822245468867e+44,7.60923178564654e+42,6.76960046182194e+42,219465.17893521,40842.7664544544,103764.002631075,214.864439031676,52.8536557282371,1345004001,NRCB,38,5.668,-3.04835142225614
2.25128189380833,0.408145772510346,0.676333709560313,4.44282056339059e+42,2.74506143069244e+42,8.90055442090087e+42,971110479.840942,227683296.400772,355696158.335625,214.892859689783,52.8651611932173,1345004001,NRCB,39,6.695,1.26512119619846
4.49696456075375,0.684915150658649,0.948520853542207,8.17355578892981e+35,3.42397519146049e+35,7.92167107553615e+35,1197280631.83051,187627845.643098,249619251.27139,214.86725453756,52.836729864946,1345004001,NRCB,40,6.059,-2.29694069649141
9.04979037151988,7.37224377015535,21.7094255860797,2.09637428164137e+35,1.09637428164137e+35,3.5982139165388e+35,1123431934.0762,942660518.319263,3324782624.96975,214.876451564796,52.8394222724979,1345004001,NRCB,41,6.055,-3.52069525640576
1.04551675597095,0.242831616144079,0.340456357033963,1.69273466518813e+44,8.0266450830451e+43,1.93605424234569e+44,329775456.761036,76639804.4173466,107580015.941954,214.896353352727,52.8385143573466,1345004001,NRCB,42,5.273,1.30691812923282
1.02408632121485,0.329813488595883,0.504901537801007,5.98973740789996e+45,5.23302591525981e+45,2.91254614679656e+46,283530333.265677,91128326.0651353,138831184.547046,214.90367935737,52.8449187590466,1345004001,NRCB,43,5.804,-4.1379569766175
0.00352948056858437,0.00181793373787045,0.00437155273294571,1.034907208345e+46,3.55204291133113e+45,5.21677649628529e+45,1070087.8148156,554025.902968939,1322130.2668791,214.889679860298,52.8329722893278,1345004001,NRCB,44,5.666,-0.62087985483257
6.11943082000609,0.842099136727126,1.10814504527374,1.37025244172851e+42,8.27956571302813e+41,2.68196275335991e+42,2047883763.09731,390276384.46411,558077264.924843,214.871762668081,52.8331769418237,1345004001,NRCB,45,6.257,2.55038250848621
0.000183218572356499,2.58703405953968e-05,0.000163357030255889,1.07333526879022e+46,3.02632790988355e+45,5.04424105022636e+45,46349.908630739,5644.99043270388,43238.4821556141,214.860858097525,52.8764376431577,1345003001,NRCB,46,7.167,-2.14345218159452
10.7770474303213,2.26753458954231,2.74331206014941,2.29445330317951e+37,1.1596687606771e+37,2.12941063876131e+37,1253530170.42699,262899315.279828,329612830.760152,214.833749123838,52.8681800840296,1345003001,NRCB,47,4.243,-7.28119867367893
1.88091690858838,0.554265742896033,0.792218476676847,2.22154317223609e+47,1.63017444828524e+47,1.41663454128985e+48,418372591.611181,123581712.479968,176749556.870817,215.039725394265,52.9015943032354,1345068001,NRCA,48,7.197,-12.2111246671719
4.89561942070022,0.940178706268268,0.881977354858527,1.24248782950582e+37,9.61001754616391e+36,3.15225586686944e+37,1466719469.66152,390643037.803885,309516951.463315,214.959900258631,52.8311799639519,1345069001,NRCA,49,4.897,0.527751447512006
3.89888147009315,0.286964175913092,0.297526457743432,1.61638277169587e+37,7.07120812826691e+36,1.42605172033261e+37,1503265199.24069,136302389.64746,161974100.356592,215.145205068529,52.9672720021466,1345066001,NRCA,50,4.48,-2.31613664698837
12.5054685500607,2.37869056668703,2.38916655946703,6.98462573552275e+37,4.5782537736212e+37,1.24340147085557e+38,1471130207.93981,289101946.922393,304976561.528512,214.947549935297,52.8371016055563,1345069001,NRCA,51,4.88,-12.1894970421908
5.66126126433388,0.455969089792002,0.498865784662547,1e+35,0,2.93060326419024e+35,1826948676.19961,152226036.153348,164903392.276909,214.955152881199,52.8428955590907,1345069001,NRCA,52,4.999,0.290970414906553
13.8631852065889,1.6489815046396,1.98702698753585,2.20037599840799e+35,1.20037599840799e+35,6.62414247261708e+35,1316339494.65062,155916338.682099,198781769.043294,215.030573587964,52.9026023963947,1345068001,NRCA,53,5.007,-2.11175126412639
0.000288238537430195,4.5910502959051e-05,0.000175081725740158,2.96531056810302e+44,8.57855517789081e+42,1.04411372212798e+43,90544.7152794702,12861.2932677904,57397.7791493528,215.090877309626,52.9515134411841,1345066001,NRCB,54,5.504,-1.71216786194456
6.05748396100193,4.02348886329405,2.98691008773002,3.11966094977121e+40,2.3296523347881e+40,5.57833997958015e+40,1509153506.01385,1149095087.28885,1327492854.5773,215.026940188633,52.907222124716,1345068001,NRCA,55,4.307,-0.431796548394683
11.683282275889,1.81028675109273,1.90198754096115,1.11446939213601e+38,6.03621968179634e+37,1.24221103955516e+38,3803608698.33214,561407943.248586,607064408.532449,214.943783676967,52.8500538074008,1345069001,NRCA,56,4.999,-4.60617841643687
3.13001072572132,0.26740177840339,0.298671200232585,1.41522919580874e+40,9.54006347143646e+39,2.31498113332198e+40,346767280.132119,30437278.478757,34449485.9526496,215.115991898352,52.9741713459225,1345066001,NRCA,57,4.492,-0.0497289544975459
35.7348864062757,1.23356248560788,1.80243391381294,5.38825197748044e+35,3.13782715459195e+35,7.19386014359222e+35,4077811836.87953,152089859.439309,209225290.090731,215.079972178762,52.9567419411085,1345066001,NRCB,58,4.756,-6.56146304011319
3.20284168669431,0.420693048318116,0.405369568509099,1.77812879972783e+43,1.07146217980272e+43,2.52258744077244e+43,1662254763.49414,268839355.941251,239567704.74721,214.888019691753,52.8882574419573,1345002001,NRCA,59,5.274,1.57323419193218
24.1704102803642,18.9235598125277,11.4153105981302,1.52468655083626e+37,9.7767181871492e+36,3.21255134548724e+37,3872981583.00012,3365076743.76765,4579596906.23567,214.886088121573,52.8768937587584,1345064001,NRCB,60,4.588,-0.0557663956079537
